fullVisitorId,hits,newVisits,pageviews,totalTransactionRevenue,transactions,timeOnSite,browser_name,browser_width,browser_height,deviceCategory,operatingSystem,language,country,city,paymentMethod,itemCount
gcqd5df4zq8jjfff,48,0,16,33950.0,1,557,Chrome,1360,666,Desktop,OS X,fr-FR,France,Paris,CREDIT_CARD ,4
35f03m7x6kfajq66,49,1,7,34980.0,1,878,Safari,1024,616,Tablet,iOS,fr-FR,France,Langon,CREDIT_CARD ,4
8qp5y60pk2xwz3ft,49,1,8,40450.0,1,336,Safari,375,553,Mobile Phone,iOS,fr-FR,France,,CREDIT_CARD ,4
yb74shn0ggpstf47,49,1,14,64010.0,1,665,Samsung Browser,360,605,Mobile Phone,Android,fr-FR,France,,CREDIT_CARD ,5
19090616464533040,50,0,8,98250.0,1,313,Samsung Browser,412,678,Mobile Phone,Android,fr-FR,France,Alençon,PayPal ,8
19101008332209482,51,0,5,80000.0,1,208,Safari,610,573,Desktop,OS X,fr-FR,France,Paris,CREDIT_CARD ,8
7y2pp0thzasp99tz,51,1,6,49310.0,1,799,Chrome,1920,969,Desktop,Windows 10,fr-FR,France,,CREDIT_CARD ,5
zmtmdjwkzv6py7b1,51,0,18,33000.0,1,2053,Chrome,1280,609,Desktop,Windows 10,fr-FR,France,Villeurbanne,GIFT_CERTIFICATE CREDIT_CARD ,4
e5sjjf8hr715pjbw,52,0,8,35850.0,1,419,Safari,414,622,Mobile Phone,iOS,fr-FR,France,Lyon,CREDIT_CARD ,4
fsks7kx84kmp1gw6,52,1,14,34980.0,1,504,Safari,375,553,Mobile Phone,iOS,fr-FR,France,Brie-Comte-Robert,CREDIT_CARD ,4
19100216360069004,53,0,5,127800.0,1,262,Safari,1372,789,Desktop,OS X,fr-FR,France,Frevent,CREDIT_CARD ,7
19082209265769658,53,0,5,133000.0,1,180,Safari,768,921,Desktop,OS X,fr-FR,France,Saint-Genis-Pouilly,CREDIT_CARD ,8
19070919571285788,53,0,14,73950.0,1,732,Chrome Mobile,412,723,Mobile Phone,Android,fr,France,Paris,CREDIT_CARD ,3
krc6qfxr6br4khfx,54,1,10,38330.0,1,486,Chrome,1280,610,Desktop,Windows 10,fr-FR,France,Courbevoie,CREDIT_CARD ,4
xtak8n3q597t29xk,54,1,16,41550.0,1,1168,Chrome,1067,464,Desktop,Windows 10,fr-FR,France,La Rochelle,CREDIT_CARD ,5
ehe6t4493kmbv46q,55,0,11,115000.0,1,718,Chrome,1680,939,Desktop,Windows 10,en-US,France,Paris,CREDIT_CARD ,6
h62txb169ye821yy,55,1,9,133000.0,1,434,Safari,1012,705,Desktop,OS X,en-US,France,Paris,PayPal ,7
hrnb5nfskhhptg4k,55,1,16,39950.0,1,1503,Safari,414,622,Mobile Phone,iOS,en-GB,France,,CREDIT_CARD ,4
x8vwpr8rd2c9f2gm,55,0,12,71500.0,1,790,Edge,1024,657,Tablet,iOS,fr-FR,France,Ivry-sur-Seine,PayPal ,7
y56mpdknt6qz4j9z,55,1,15,110000.0,1,1092,Firefox,1280,557,Desktop,Windows 10,fr,France,Suresnes,CREDIT_CARD ,7
5bcp5yp0rn008d3v,55,1,12,60070.0,1,1232,Chrome,1536,754,Desktop,Windows 10,en-US,France,Paris,CREDIT_CARD ,5
gn92yrwj51vxaess,56,0,10,35950.0,1,254,Safari,1440,755,Desktop,OS X,fr-FR,France,Paris,CREDIT_CARD ,4
19101422165926759,57,0,14,89250.0,1,1447,Chrome,1280,689,Desktop,Windows 10,fr-FR,France,Morlaix,CREDIT_CARD ,8
cc497pa6bzgvv69h,57,1,11,153000.0,1,658,Chrome,1280,631,Desktop,Windows 8,fr-FR,France,Francueil,CREDIT_CARD ,6
3ar637reazemmxbe,57,1,11,33980.0,1,738,Chrome Mobile,360,560,Mobile Phone,Android,fr-FR,France,Lille,CREDIT_CARD ,4
rsjfeyxv7yf2f8d3,58,1,13,65950.0,1,1167,Chrome,1440,718,Desktop,OS X,fr-FR,France,,CREDIT_CARD ,6
19042121552403125,58,0,13,111700.0,1,1857,Chrome,1368,802,Desktop,Windows 10,en-GB,France,Haute-Kontz,CREDIT_CARD ,6
37hx1sprkxzq09y9,59,1,20,65950.0,1,1216,Chrome Mobile,360,612,Mobile Phone,Android,fr-FR,France,,CREDIT_CARD ,6
sze1ejh0dvksadda,60,0,27,15950.0,1,841,Chrome,1920,969,Desktop,Windows 10,fr-FR,France,Paris,CREDIT_CARD ,4
18091220223142765,61,0,10,90000.0,1,806,Samsung Browser,1280,671,Tablet,Android,fr-FR,France,Toulouse,CREDIT_CARD ,9
f2kypb2hq3e1qwnw,61,0,17,55950.0,1,1152,Chrome,1920,969,Desktop,Windows 10,fr-FR,France,Suresnes,CREDIT_CARD ,2
yrxxxx74dte7btz8,62,1,12,87000.0,1,526,Chrome,1366,635,Desktop,Windows 10,en-US,United Kingdom,,PayPal ,6
5ecjxy9pgcz0ra35,63,1,18,65950.0,1,1147,Edge,1024,706,Desktop,Windows 10,fr-FR,France,Grasse,PayPal ,6
szzvy9k7rxczd20r,63,0,11,85000.0,1,459,Samsung Browser,360,577,Mobile Phone,Android,fr-FR,France,Bron,CREDIT_CARD ,8
vg3h30y22ec392ae,63,1,22,41950.0,1,734,Chrome Mobile,393,738,Mobile Phone,Android,fr-FR,France,Dompierre-sur-Yon,PayPal ,6
bgwvhn3y7rx36fbf,63,0,13,101000.0,1,700,Chrome,1920,888,Desktop,Windows 10,fr-FR,France,Eguilles,CREDIT_CARD ,6
8zdama9hjpfv4rsm,65,1,12,82870.0,1,1112,Chrome,1680,939,Desktop,Windows 7,fr-FR,France,Paris,CREDIT_CARD ,9
18122018331953671,65,0,16,90000.0,1,745,Chrome,1339,640,Desktop,Windows 10,fr-FR,France,Besançon,CREDIT_CARD ,7
19082704414894630,66,0,5,137000.0,1,185,Safari,414,703,Mobile Phone,iOS,fr-CH,Switzerland,Geneva,CREDIT_CARD ,13
fhdqgjyav6sp92ye,66,1,9,211000.0,1,412,Safari,1024,694,Tablet,iOS,fr-FR,France,,PayPal ,12
7ff358cjf898chfy,66,1,9,143000.0,1,359,Firefox,1536,728,Desktop,Windows 10,fr,France,Begles,CREDIT_CARD ,8
0sya868jsck3nnag,68,0,20,76000.0,1,927,Chrome,1920,937,Desktop,Windows 7,fr-FR,France,Paris,CREDIT_CARD ,7
c2hzs4yy2b80zrf9,68,1,15,108000.0,1,860,Safari,375,635,Mobile Phone,iOS,th-TH,France,,CREDIT_CARD ,8
98e2npyhfp78bht0,69,1,18,115000.0,1,1028,Chrome,1600,789,Desktop,Windows 10,fr-FR,France,Gien,CREDIT_CARD ,6
z4bsr7hg51m2gzbz,69,1,15,74250.0,1,670,Safari,375,553,Mobile Phone,iOS,fr-FR,France,Aulnay-sous-Bois,PayPal ,7
989sh6zc86r37y1m,70,1,28,64450.0,1,1040,Chrome,1366,657,Desktop,Windows 10,fr-FR,France,Chazelles-sur-Lyon,CREDIT_CARD ,5
c8sbzy1f27jxxhfs,70,0,36,110000.0,1,3202,Edge,1438,732,Desktop,Windows 10,fr-FR,France,,CREDIT_CARD ,5
19011411043708157,70,0,21,35950.0,1,1317,Firefox,1366,632,Desktop,Windows 7,fr,France,Vannes,PayPal ,3
3me8ta9vbnp7cmrw,71,1,23,120000.0,1,1480,Chrome,1191,569,Desktop,Windows 10,fr-FR,France,Ferrette,CREDIT_CARD ,7
19090501460354693,71,0,25,69950.0,1,2672,Safari,1366,705,Desktop,OS X,fr-FR,France,Ivry-sur-Seine,CREDIT_CARD ,6
4jcfa133jne4748v,71,1,27,35950.0,1,1181,Chrome,1280,598,Desktop,OS X,fr-FR,France,Strasbourg,CREDIT_CARD ,4
29j69y675qgcbmbn,71,1,13,78600.0,1,716,Firefox,1154,745,Desktop,Windows 7,fr,France,Paris,CREDIT_CARD ,7
axyge4ks8ne4j4rv,72,1,18,187900.0,1,327,Chrome,1920,1057,Desktop,Windows 7,fr-FR,France,Dole,PayPal ,7
7d4ndatf7t2v8ra9,72,1,19,131800.0,1,944,Safari,375,537,Mobile Phone,iOS,fr-FR,France,Paris,CREDIT_CARD ,8
rsvczjqyvfgtbqcw,72,1,25,65950.0,1,963,Safari,375,559,Mobile Phone,iOS,fr-FR,France,Boulogne-Billancourt,CREDIT_CARD ,6
k55kprekk3dc4tdr,73,1,24,74200.0,1,977,Chrome,1600,757,Desktop,Windows 10,fr-FR,France,Lyon,CREDIT_CARD ,6
19040422351885296,73,0,18,83500.0,1,1397,Chrome,1920,969,Desktop,Windows 7,fr-FR,France,Annonay,CREDIT_CARD ,7
0pkqvsrwcjczf36k,74,1,33,63700.0,1,1895,Safari,810,977,Desktop,OS X,fr-FR,France,Saint-Didier-au-Mont-d'Or,PayPal ,5
sk3npasssypkwscw,74,1,17,112000.0,1,1146,Samsung Browser,360,668,Mobile Phone,Android,fr-FR,France,,CREDIT_CARD ,7
qxwa9bt4jj54aks4,76,0,10,86000.0,1,610,Safari,1112,731,Desktop,OS X,fr-FR,France,Goussainville,CREDIT_CARD ,11
97am2ypc91pp9w1m,77,0,34,65950.0,1,3459,Chrome Mobile,1280,663,Tablet,Android,fr,France,Illkirch-Graffenstaden,CREDIT_CARD ,6
chgfyz47ncwpmc6d,78,0,9,65950.0,1,839,Chrome Mobile,412,764,Mobile Phone,Android,fr-FR,France,Lille,PayPal ,6
39s9qyy21k0enanb,79,1,15,90500.0,1,549,Safari,414,719,Mobile Phone,iOS,fr-FR,France,Le Kremlin-Bicetre,CREDIT_CARD ,9
0cczqcnyqzrh5x3w,79,1,32,70000.0,1,1668,Safari,1024,666,Tablet,iOS,fr-FR,France,Tarnos,CREDIT_CARD ,5
zwwm8db4p53dasjx,79,1,15,89250.0,1,969,Firefox,1440,799,Desktop,OS X,fr,France,Mauze-sur-le-Mignon,CREDIT_CARD ,9
9921tqp8dr66kk3m,81,1,22,111200.0,1,1482,Safari,1440,767,Desktop,OS X,fr-FR,France,Bry-sur-Marne,CREDIT_CARD ,9
83yg4qh9ajaa74k6,81,1,24,165000.0,1,880,Edge,1707,766,Desktop,Windows 10,fr-FR,France,Châtenay-Malabry,PayPal ,8
34nysf1egg6hk1gj,82,1,10,112500.0,1,1076,Samsung Browser,1280,696,Tablet,Android,fr-FR,France,Chirens,CREDIT_CARD ,6
ah80g9mc39r4skz9,83,1,22,74630.0,1,1045,Chrome Mobile,360,612,Mobile Phone,Android,fr-FR,France,Paris,CREDIT_CARD ,6
55bxb6e5djrtbkhp,84,0,26,116900.0,1,1703,Chrome Mobile,360,627,Mobile Phone,Android,fr-FR,France,Lannion,CREDIT_CARD ,9
gxbwgkxx9jeqzh20,85,1,26,104630.0,1,2007,Chrome,1366,635,Desktop,Windows 7,fr-FR,France,,CREDIT_CARD ,8
ghxyvdbr5fsbet2q,86,1,18,145000.0,1,798,Chrome,1920,937,Desktop,Windows 10,fr-FR,France,,CREDIT_CARD ,8
8wa4qjy8mtfakcmm,87,1,30,64950.0,1,1408,Safari,375,553,Mobile Phone,iOS,fr-FR,France,Paris,PayPal ,7
55kg0qcj6j7twknb,90,0,23,95000.0,1,750,Chrome,1920,937,Desktop,Windows 10,fr-FR,France,Emerainville,CREDIT_CARD ,10
19012008062415546,91,0,39,80000.0,1,1726,Safari,375,549,Mobile Phone,iOS,fr-FR,France,Draguignan,CREDIT_CARD ,7
nr3qh4errjtzjss1,92,1,41,84750.0,1,4088,Safari,1280,800,Desktop,OS X,fr-FR,France,Soubise,CREDIT_CARD ,10
fa92zd0h9bn0et6g,92,1,29,105500.0,1,769,Safari,414,719,Mobile Phone,iOS,fr-FR,France,Compiègne,CREDIT_CARD ,9
86dyv9j29dhv1mtm,92,1,22,122500.0,1,1328,Safari,1024,665,Desktop,OS X,fr-FR,France,Alençon,CREDIT_CARD ,7
v0wsvtm87kp71rfd,92,1,28,89000.0,1,1033,Safari,1440,812,Desktop,OS X,fr-FR,France,,CREDIT_CARD ,9
gsw0hspbyg0z494q,92,1,25,100000.0,1,1113,Firefox,1920,966,Desktop,Windows 10,fr,France,Belbeuf,CREDIT_CARD ,7
nkes92fmcd9w9gde,92,1,23,416000.0,1,1300,Firefox,1453,733,Desktop,Windows 10,fr,France,Paris,CREDIT_CARD ,8
krntd0gpqsfb9wrt,92,1,28,33550.0,1,663,Firefox,1920,925,Desktop,Windows 8.1,fr,France,Livry-Gargan,CREDIT_CARD ,3
32czs78z6v4aq55w,93,1,21,80000.0,1,1564,Firefox,1536,752,Desktop,Windows 7,fr,France,Jarville-la-Malgrange,CREDIT_CARD ,7
t2gy6kx0tt3a762x,94,1,37,89250.0,1,1624,Chrome,1920,937,Desktop,Windows 10,fr-FR,France,Francheville,CREDIT_CARD ,8
s4kxbwhewan4vq23,95,0,29,79210.0,1,1418,Samsung Browser,360,577,Mobile Phone,Android,fr-FR,France,,CREDIT_CARD ,6
3akj5747pa50hth9,98,1,35,87250.0,1,1152,Safari,1024,665,Tablet,iOS,fr-FR,France,Hyères,CREDIT_CARD ,7
kkm71j3jrjc7kmcj,99,0,20,83600.0,1,2020,Samsung Browser,360,627,Mobile Phone,Android,fr-FR,France,,CREDIT_CARD ,10
f5j6aq1d2z874q9z,99,1,38,124000.0,1,968,Chrome,1890,855,Desktop,Windows 7,fr-FR,France,,CREDIT_CARD ,8
am00cb491y6y63zc,100,0,38,81500.0,1,1936,Firefox,1366,654,Desktop,Windows 10,fr,France,Landerneau,PayPal ,7
fd88d4s7ffeq682a,106,0,30,87310.0,1,1435,Chrome,1280,881,Desktop,Windows 10,fr-FR,France,Lyon,CREDIT_CARD ,7
19060617160110275,107,0,13,175000.0,1,891,Chrome,1600,757,Desktop,Windows 8.1,fr-FR,France,Saint-Agnant,CREDIT_CARD ,10
q59crqecvtehnk7m,108,0,21,81880.0,1,1204,Safari,1024,672,Tablet,iOS,fr-FR,France,Calais,CREDIT_CARD ,11
qn020ga0q9877m4e,108,0,33,98000.0,1,2602,Chrome,1366,625,Desktop,Windows 10,fr-FR,France,Toulon,CREDIT_CARD ,9
15venwpnm4zfx544,109,1,55,71500.0,1,1815,Chrome,1920,898,Desktop,Windows 10,en-GB,France,Paris,PayPal ,6
mhv4b9dy523fnr13,111,1,26,65950.0,1,1119,Firefox,1440,826,Desktop,OS X,fr,France,Chennevieres-sur-Marne,PayPal ,6
dzfmsrpz5za1s9hq,112,0,32,122900.0,1,1610,Safari,1271,715,Desktop,OS X,fr-FR,France,Assas,CREDIT_CARD ,9
77ybq2awhrymvrej,112,0,36,211000.0,1,1573,Firefox,1600,774,Desktop,Windows 10,fr,France,Achenheim,CREDIT_CARD ,8
b9hj4vwyksjgpv0t,116,1,41,90000.0,1,2218,Chrome,1600,757,Desktop,Windows 10,fr-FR,France,Avenheim,CREDIT_CARD ,9
19090910551152991,117,0,20,142490.0,1,782,Chrome,1280,921,Desktop,Windows 7,fr-FR,France,Ivry-sur-Seine,CREDIT_CARD ,11
xrjp3rda9r5389yz,117,1,50,81000.0,1,2173,Firefox,1366,631,Desktop,Windows 10,fr,France,,CREDIT_CARD ,8
73k09c5d3g9mzn9r,119,1,40,228000.0,1,1242,Firefox,1920,916,Desktop,Windows 10,fr,France,Castres,PayPal ,8
18112608315439543,125,0,48,55950.0,1,2194,Chrome Mobile,1280,680,Tablet,Android,fr-FR,France,Martot,PayPal ,6
3af1b0n1g90hqqdq,128,1,47,215500.0,1,2416,Chrome,1280,617,Desktop,Windows 10,en-US,France,,PayPal ,10
snsays35zkw5z960,132,1,47,302500.0,1,1267,Firefox,1366,654,Desktop,Windows 7,fr,France,Paris,PayPal ,10
e6bp0nzrf0daxmc9,139,0,33,105350.0,1,766,Samsung Browser,412,678,Mobile Phone,Android,fr-FR,France,,PayPal ,10
9cktf3trtmja0cra,141,0,40,71760.0,1,3073,Safari,1383,839,Desktop,OS X,fr-FR,France,Besançon,CREDIT_CARD ,7
19101117413962084,162,0,33,80000.0,1,1225,Chrome Mobile,800,1192,Tablet,Android,fr,France,Lyon,CREDIT_CARD ,7
vnx3mv5ypftr76cy,164,1,69,90000.0,1,3310,Chrome,1280,578,Desktop,Windows 10,fr-FR,France,Paris,CREDIT_CARD ,9
19102615185011711,165,0,58,147500.0,1,4824,Chrome,1368,770,Desktop,Windows 10,fr-FR,France,Paris,CREDIT_CARD ,11
8twc8fjbkdhw86fp,230,1,103,93250.0,1,3669,Chrome,1536,755,Desktop,Windows 7,fr-FR,France,Sainte-Anastasie-sur-Issole,CREDIT_CARD ,11
vfnyr3mftqb5248h,234,1,106,89250.0,1,4563,Firefox,1366,613,Desktop,Windows 7,fr,France,Dax,CREDIT_CARD ,8
mtjsqc5aphwwr83r,235,0,33,115000.0,1,3281,Chrome Mobile,393,719,Mobile Phone,Android,fr,France,La Crau,CREDIT_CARD ,9
wsxqv55nz7j3tsvn,76,1,19,32950.0,1,2311,Safari,375,635,Mobile Phone,iOS,fr-FR,France,Boulogne-Billancourt,CREDIT_CARD ,5
fj7ny2422a173r0j,76,1,10,76500.0,1,1424,Safari,1024,698,Desktop,OS X,fr-FR,France,Lyon,CREDIT_CARD ,6
xs2j5c5mtd5dybsd,103,0,18,111500.0,1,945,Firefox,1920,916,Desktop,Windows 10,fr,France,Estancarbon,CREDIT_CARD ,8
q5jcvywxnsrgfm2d,49,1,10,80000.0,1,257,Chrome,1920,925,Desktop,Windows 10,en-US,Netherlands,,CREDIT_CARD ,2
my6hm0c0vfvzs23k,51,1,10,91450.0,1,259,Chrome,1920,969,Desktop,Windows 10,en-US,Netherlands,,CREDIT_CARD ,2
5mwta06766xq89y9,47,1,9,80000.0,1,247,Chrome Mobile,393,727,Mobile Phone,Android,en-US,Ireland,Cork,CREDIT_CARD ,2
v8fgz7qpfgkf7bdv,47,1,9,80000.0,1,248,Chrome Mobile,393,727,Mobile Phone,Android,en-US,Ireland,Cork,CREDIT_CARD ,2
xqtvhhmdn9bhgq9t,47,1,9,80000.0,1,269,Chrome Mobile,393,727,Mobile Phone,Android,en-US,Ireland,Cork,CREDIT_CARD ,2
qt0jnkrpa9j28n5e,47,1,9,80000.0,1,287,Chrome Mobile,393,727,Mobile Phone,Android,en-US,Ireland,Cork,CREDIT_CARD ,2
9ma6wzqt2tnkyr7c,47,1,9,80000.0,1,255,Chrome Mobile,393,727,Mobile Phone,Android,en-US,Ireland,,CREDIT_CARD ,2
wzd8eqdhh912a5e8,47,1,9,80000.0,1,230,Chrome Mobile,393,727,Mobile Phone,Android,en-US,Ireland,,CREDIT_CARD ,2
2yx1fepyhdq6gh6a,47,1,9,80000.0,1,224,Chrome Mobile,393,727,Mobile Phone,Android,en-US,Ireland,Cork,CREDIT_CARD ,2
pe2kzx432fd7d0jr,62,1,11,41950.0,1,1147,Safari,1112,758,Tablet,iOS,fr-FR,France,Le Mesnil-Raoult,CREDIT_CARD ,6
px396pga9t273y6v,48,1,8,80000.0,1,217,Chrome,1920,925,Desktop,Windows 10,en-US,Netherlands,,CREDIT_CARD ,2
191zdanb3c2n2b6x,51,1,8,91450.0,1,226,Chrome,1920,925,Desktop,Windows 10,en-US,Netherlands,,CREDIT_CARD ,2
3nece6vadq83q8kb,51,1,8,91450.0,1,194,Chrome Mobile,393,727,Mobile Phone,Android,en-US,Ireland,Cork,CREDIT_CARD ,2
8nng634bp5tjg8zw,39,1,9,50950.0,1,213,Chrome,1920,925,Desktop,Windows 10,en-US,Netherlands,,PayPal ,1
pzrhc4frarka8ktn,39,1,9,50950.0,1,237,Chrome,1920,925,Desktop,Windows 10,en-US,Netherlands,,CREDIT_CARD ,1
t3e327rrs8h16pq9,39,1,9,50950.0,1,255,Chrome,1920,969,Desktop,Windows 10,en-US,Netherlands,,GIFT_CERTIFICATE PayPal ,1
w6zw370d6anca4dh,39,1,9,50950.0,1,213,Chrome,1920,969,Desktop,Windows 10,en-US,Netherlands,,CREDIT_CARD ,1
ejx5gkg6168rr8gh,44,1,9,52950.0,1,227,Chrome,1920,969,Desktop,Windows 10,en-US,Netherlands,,CREDIT_CARD ,2
mnw3h24mny4s63ae,50,1,7,91450.0,1,195,Chrome Mobile,393,727,Mobile Phone,Android,en-US,Ireland,Dublin,CREDIT_CARD ,2
t0btdzdgbhvnd4ys,50,1,7,91450.0,1,195,Chrome Mobile,393,727,Mobile Phone,Android,en-US,Ireland,Dublin,CREDIT_CARD ,2
vhg7g01bfstjg4rk,50,1,7,91450.0,1,198,Chrome Mobile,393,727,Mobile Phone,Android,en-US,Ireland,Dublin,CREDIT_CARD ,2
3d63vj1rwvb8kxqa,50,1,7,91450.0,1,216,Chrome Mobile,393,727,Mobile Phone,Android,en-US,Ireland,,CREDIT_CARD ,2
vf168a3q3zs231yy,50,1,7,91450.0,1,178,Chrome Mobile,393,727,Mobile Phone,Android,en-US,Ireland,,CREDIT_CARD ,2
2z1n6ww6h1an580n,51,1,7,91450.0,1,190,Chrome Mobile,393,727,Mobile Phone,Android,en-US,Ireland,,CREDIT_CARD ,2
zm7mhkhnrq49mb5m,38,1,9,50950.0,1,246,Chrome,1920,925,Desktop,Windows 10,en-US,Netherlands,,GIFT_CERTIFICATE CREDIT_CARD ,1
hhjh1b2rnp6vpvdg,38,1,9,50950.0,1,233,Chrome,1920,925,Desktop,Windows 10,en-US,Netherlands,,CREDIT_CARD ,1
nm4745yq8kh49azx,38,1,9,50950.0,1,302,Chrome,1920,969,Desktop,Windows 10,en-US,Netherlands,,GIFT_CERTIFICATE CREDIT_CARD ,1
sf58gmwy2b9j3vjv,38,1,9,46950.0,1,208,Chrome,1920,925,Desktop,Windows 10,en-US,Netherlands,,CREDIT_CARD ,1
zxycrmzkr3j05ppz,38,1,9,50950.0,1,219,Chrome,1920,925,Desktop,Windows 10,en-US,Netherlands,,GIFT_CERTIFICATE ,1
gmj0kvvcgdpm1963,38,1,9,50950.0,1,265,Chrome,1920,925,Desktop,Windows 10,en-US,Netherlands,,GIFT_CERTIFICATE GIFT_CERTIFICATE ,1
8pjbd0gk4v6zqqsn,38,1,8,90000.0,1,192,Chrome,1920,925,Desktop,Windows 10,en-US,Netherlands,,CREDIT_CARD ,2
y46k2g9e1k40yg7c,38,1,8,50950.0,1,229,Chrome Mobile,393,727,Mobile Phone,Android,en-US,Ireland,,GIFT_CERTIFICATE ,1
mmcyq6dr0dt7zcxp,39,1,9,90000.0,1,219,Chrome,1920,925,Desktop,Windows 10,en-US,Netherlands,,CREDIT_CARD ,2
jcefwh0pber96bb8,43,1,9,52950.0,1,212,Chrome,1920,925,Desktop,Windows 10,en-US,Netherlands,,CREDIT_CARD ,2
ffaga1npmampc4ar,37,1,8,50950.0,1,202,Chrome Mobile,393,727,Mobile Phone,Android,en-US,Ireland,,CREDIT_CARD ,1
1tz2nwtqmcy55mk9,37,1,8,50950.0,1,220,Chrome Mobile,393,727,Mobile Phone,Android,en-US,Ireland,Dublin,GIFT_CERTIFICATE ,1
ffr522zwgfq3qmnq,37,1,8,50950.0,1,164,Safari,375,635,Mobile Phone,iOS,en-IE,Ireland,,CREDIT_CARD ,1
8zjk6hmssd4979sz,37,1,8,50950.0,1,206,Chrome Mobile,393,727,Mobile Phone,Android,en-US,Ireland,,CREDIT_CARD ,1
qrjje2ky6ya5r394,37,1,8,50950.0,1,196,Chrome Mobile,393,727,Mobile Phone,Android,en-US,Ireland,Cork,CREDIT_CARD ,1
g9qt1g9n1j1ktcbf,37,1,8,50950.0,1,222,Chrome Mobile,393,727,Mobile Phone,Android,en-US,Ireland,Cork,GIFT_CERTIFICATE ,1
7kaavxja3yj8k81h,37,1,8,50950.0,1,217,Chrome Mobile,393,727,Mobile Phone,Android,en-US,Ireland,Dublin,GIFT_CERTIFICATE ,1
00gfyhj8vgqfx799,37,1,8,50950.0,1,212,Chrome Mobile,393,727,Mobile Phone,Android,en-US,Ireland,Dublin,CREDIT_CARD ,1
xwyhn696dzdx3evc,37,1,8,50950.0,1,189,Chrome Mobile,393,727,Mobile Phone,Android,en-US,Ireland,Cork,CREDIT_CARD ,1
1sc0gk0n9v8fqbxw,37,1,8,50950.0,1,207,Chrome Mobile,393,727,Mobile Phone,Android,en-US,Ireland,Dublin,GIFT_CERTIFICATE ,1
jy5g63kmzpasg4x1,37,1,8,50950.0,1,219,Chrome Mobile,393,727,Mobile Phone,Android,en-US,Ireland,,GIFT_CERTIFICATE ,1
04e89tphhpc20r38,37,1,8,50950.0,1,204,Chrome Mobile,393,727,Mobile Phone,Android,en-US,Ireland,,CREDIT_CARD ,1
scghpd0jkb2rdpqp,37,1,8,50950.0,1,190,Chrome Mobile,393,727,Mobile Phone,Android,en-US,Ireland,,CREDIT_CARD ,1
ft7r2yvxs8jhn86d,37,1,8,50950.0,1,211,Chrome Mobile,393,727,Mobile Phone,Android,en-US,Ireland,Cork,GIFT_CERTIFICATE ,1
5sx2337dzvg3pgzs,39,1,7,50950.0,1,158,Safari,375,635,Mobile Phone,iOS,en-IE,Ireland,,CREDIT_CARD ,1
